['-121.99', '37.61', '9', '3666', '711', '2341', '703', '4.6458', '217000', '<1H OCEAN']
['-121.2', '37.97', '39', '440', '83', '270', '97', '6.0582', '157700', 'INLAND']
['-121.18', '37.99', '31', '2450', '559', '1459', '478', '2.4674', '130900', 'INLAND']
['-121.17', '37.97', '28', '1374', '248', '769', '229', '3.6389', '130400', 'INLAND']
['-121.23', '37.95', '32', '2081', '472', '1342', '411', '2.7958', '59000', 'INLAND']
['-121.19', '37.93', '27', '1621', '363', '909', '345', '2.1513', '99700', 'INLAND']
['-121.23', '37.94', '20', '268', '78', '77', '49', '1125', '150000', 'INLAND']
['-121.22', '37.93', '21', '336', '68', '206', '73', '4.75', '121400', 'INLAND']
['-121.22', '37.95', '30', '1055', '211', '629', '170', '2.8676', '76900', 'INLAND']
['-121.18', '37.96', '35', '411', '74', '193', '59', '2.5625', '146900', 'INLAND']
['-121.24', '37.9', '16', '50', '10', '20', '6', '2625', '137500', 'INLAND']
['-121.26', '37.88', '42', '465', '93', '256', '93', '3.1719', '158300', 'INLAND']
['-121.28', '37.9', '28', '371', '71', '171', '70', '0.9614', '55700', 'INLAND']
['-121.27', '37.88', '43', '968', '249', '664', '240', '1.6458', '83600', 'INLAND']
['-121.27', '37.87', '34', '1010', '206', '678', '234', '2.9531', '104000', 'INLAND']
['-121.31', '37.9', '38', '226', '44', '125', '38', '2.9', '125000', 'INLAND']
['-121.29', '37.89', '26', '161', '27', '1542', '30', '5.7485', '162500', 'INLAND']
['-121.29', '37.87', '29', '488', '108', '308', '115', '2.6563', '103100', 'INLAND']
['-121.23', '37.87', '49', '98', '24', '59', '26', '3.65', '162500', 'INLAND']
['-121.49', '37.94', '31', '1860', '394', '1848', '293', '2.2891', '162500', 'INLAND']
['-121.38', '37.88', '44', '1158', '226', '1094', '224', '2.6842', '156300', 'INLAND']
['-121.05', '37.93', '17', '2474', '480', '1649', '453', '3275', '156500', 'INLAND']
['-121.04', '37.78', '32', '2916', '528', '1466', '473', '2.5643', '200000', 'INLAND']
['-121.06', '37.86', '24', '1713', '328', '1258', '324', '2683', '169400', 'INLAND']
['-121.13', '37.74', '31', '677', '144', '523', '159', '2.4598', '97100', 'INLAND']
['-121.13', '37.74', '28', '409', '104', '244', '98', '3.4643', '90900', 'INLAND']
['-121.12', '37.73', '35', '1107', '227', '573', '210', '2.3924', '102200', 'INLAND']
['-121.13', '37.74', '21', '2376', '475', '1175', '441', '3.6016', '134600', 'INLAND']
['-121.13', '37.73', '40', '1126', '220', '667', '235', '3.3158', '125900', 'INLAND']
['-121.11', '37.74', '11', '3886', '599', '1605', '529', '4.4213', '182700', 'INLAND']
['-121.1', '37.8', '35', '1853', '331', '958', '340', '3.3578', '149000', 'INLAND']
['-121.11', '37.76', '22', '2606', '411', '1252', '397', '4.1833', '192100', 'INLAND']
['-121.16', '37.73', '7', '4956', '941', '3006', '915', '3.4426', '139000', 'INLAND']
['-121.25', '37.76', '22', '2430', '417', '1292', '391', '3.4009', '182400', 'INLAND']
['-121.22', '37.72', '34', '2123', '387', '1310', '368', '2.6368', '165600', 'INLAND']
['-121.22', '37.81', '17', '2879', '542', '1802', '530', '3.6378', '126100', 'INLAND']
['-121.22', '37.8', '28', '2608', '576', '1719', '554', '2.1186', '94400', 'INLAND']
['-121.22', '37.8', '37', '1038', '222', '521', '211', '2125', '91900', 'INLAND']
['-121.21', '37.81', '18', '2404', '498', '1531', '506', '2995', '124300', 'INLAND']
['-121.21', '37.8', '31', '699', '186', '460', '170', '2.7443', '94200', 'INLAND']
['-121.21', '37.8', '44', '300', '72', '160', '73', '2.1786', '120800', 'INLAND']
['-121.21', '37.8', '45', '370', '84', '167', '70', '1.4853', '101800', 'INLAND']
['-121.21', '37.79', '33', '811', '185', '446', '198', '1.6724', '96900', 'INLAND']
['-121.21', '37.8', '33', '1862', '429', '971', '389', '2.6053', '99200', 'INLAND']
['-121.21', '37.81', '8', '1883', '298', '999', '301', '5193', '172100', 'INLAND']
['-121.2', '37.8', '28', '3264', '576', '1512', '567', '3.7546', '135300', 'INLAND']
['-121.2', '37.8', '24', '1698', '344', '927', '313', '3.5625', '130800', 'INLAND']
['-121.2', '37.79', '36', '866', '160', '502', '149', '2.4798', '101500', 'INLAND']
['-121.2', '37.8', '37', '311', '61', '171', '54', '4.0972', '101800', 'INLAND']
['-121.21', '37.81', '12', '3667', '640', '2173', '652', '5.0369', '163900', 'INLAND']
['-121.17', '37.88', '22', '1283', '256', '3082', '239', '3.5365', '111800', 'INLAND']
['-121.17', '37.82', '35', '2506', '406', '1316', '398', '3.8472', '197600', 'INLAND']
['-121.2', '37.83', '18', '3415', '580', '1912', '562', '4.4423', '161400', 'INLAND']
['-121.2', '37.81', '26', '395', '74', '193', '72', '7.3718', '212500', 'INLAND']
['-121.19', '37.81', '8', '4019', '857', '1959', '782', '2.7321', '175000', 'INLAND']
['-121.18', '37.79', '16', '1326', '286', '509', '297', '1.9464', '112500', 'INLAND']
['-121.2', '37.78', '4', '58', '29', '79', '29', '3375', '106300', 'INLAND']
['-121.23', '37.78', '20', '273', '49', '149', '49', '4.8229', '158300', 'INLAND']
['-121.24', '37.79', '7', '5151', '867', '2553', '805', '4075', '195000', 'INLAND']
['-121.27', '37.79', '16', '1853', '390', '1013', '362', '2.7083', '173900', 'INLAND']
['-121.22', '37.8', '13', '335', '89', '247', '77', '1.6111', '74100', 'INLAND']
['-121.22', '37.79', '36', '1052', '221', '712', '212', '1.7228', '105000', 'INLAND']
['-121.22', '37.79', '38', '2152', '451', '1320', '457', '2.5025', '101900', 'INLAND']
['-121.23', '37.79', '21', '1922', '373', '1130', '372', '4.0815', '117900', 'INLAND']
['-121.22', '37.79', '5', '3107', '477', '1549', '443', '4.4766', '169400', 'INLAND']
['-121.23', '37.79', '23', '1985', '424', '1198', '389', '2.7734', '116800', 'INLAND']
['-121.23', '37.8', '11', '2451', '665', '1155', '533', '2.2254', '130800', 'INLAND']
['-121.24', '37.81', '6', '3883', '800', '2319', '787', '3.5595', '161000', 'INLAND']
['-121.23', '37.81', '15', '2906', '537', '1886', '557', '4.2431', '137100', 'INLAND']
['-121.22', '37.81', '20', '1811', '352', '1191', '327', '4.0125', '121500', 'INLAND']
['-121.22', '37.82', '13', '4452', '949', '2740', '937', '3.1964', '141500', 'INLAND']
['-121.23', '37.81', '16', '2085', '342', '1236', '345', '5.5591', '149300', 'INLAND']
['-121.23', '37.82', '8', '1289', '235', '867', '239', '4.6821', '138500', 'INLAND']
['-121.23', '37.82', '14', '1847', '325', '1030', '309', '4.9271', '155300', 'INLAND']
['-121.23', '37.84', '28', '1347', '241', '713', '225', '4.0208', '155700', 'INLAND']
['-121.24', '37.82', '9', '6169', '959', '3378', '945', '5.1047', '157900', 'INLAND']
['-121.3', '37.85', '35', '1034', '206', '604', '192', '2.2391', '120000', 'INLAND']
['-121.31', '37.81', '36', '284', '53', '130', '47', '3.1429', '179200', 'INLAND']
['-121.27', '37.82', '26', '1170', '238', '830', '216', '2.6458', '127500', 'INLAND']
['-121.28', '37.83', '32', '696', '151', '443', '144', '2.5156', '86300', 'INLAND']
['-121.28', '37.82', '10', '9205', '1774', '5935', '1673', '3.65', '119400', 'INLAND']
['-121.37', '37.77', '19', '2610', '474', '1290', '452', '4.1298', '222800', 'INLAND']
['-121.43', '37.78', '24', '807', '174', '585', '166', '2.6181', '163500', 'INLAND']
['-121.48', '37.77', '19', '2364', '373', '1264', '390', '5.0176', '274200', 'INLAND']
['-121.46', '37.73', '20', '2039', '373', '862', '330', '5.1629', '222900', 'INLAND']
['-121.45', '37.72', '2', '2239', '321', '766', '219', '5.75', '240200', 'INLAND']
['-121.44', '37.7', '5', '1365', '196', '591', '156', '6.0389', '215100', 'INLAND']
['-121.42', '37.71', '7', '8297', '1433', '4189', '1271', '4.3696', '170700', 'INLAND']
['-121.42', '37.76', '18', '5501', '1051', '2964', '1009', '4.1855', '162100', 'INLAND']
['-121.42', '37.75', '33', '1999', '368', '1061', '390', '3.5242', '121400', 'INLAND']
['-121.42', '37.74', '45', '818', '144', '340', '138', '4.8021', '133500', 'INLAND']
['-121.42', '37.74', '38', '773', '147', '320', '134', '2825', '152500', 'INLAND']
['-121.42', '37.74', '35', '796', '132', '313', '152', '3.15', '153200', 'INLAND']
['-121.42', '37.75', '33', '1329', '266', '683', '233', '4.3687', '128700', 'INLAND']
['-121.43', '37.75', '34', '1280', '268', '754', '294', '3.1333', '132000', 'INLAND']
['-121.43', '37.75', '41', '1717', '325', '855', '303', '2.75', '127300', 'INLAND']
['-121.43', '37.75', '42', '1207', '278', '699', '279', '3.3611', '117600', 'INLAND']
['-121.43', '37.74', '52', '876', '170', '426', '179', '3.0865', '119800', 'INLAND']
['-121.43', '37.74', '40', '859', '196', '427', '176', '3.5789', '110400', 'INLAND']
['-121.43', '37.75', '30', '1912', '451', '1065', '388', '2.1424', '125000', 'INLAND']
['-121.43', '37.76', '7', '2125', '508', '1358', '464', '3.6312', '147600', 'INLAND']
['-121.44', '37.76', '5', '7264', '1285', '3670', '1146', '5.0443', '194800', 'INLAND']
['-121.45', '37.75', '15', '3846', '677', '2360', '635', '4.6173', '164800', 'INLAND']
['-121.44', '37.74', '33', '1875', '363', '970', '381', '3.5096', '141700', 'INLAND']
['-121.44', '37.75', '29', '918', '159', '417', '166', '4.2768', '151300', 'INLAND']
['-121.44', '37.75', '16', '2229', '458', '1199', '445', '3.4821', '170600', 'INLAND']
['-121.42', '37.74', '19', '1393', '367', '915', '355', '1.1957', '103100', 'INLAND']
['-121.43', '37.74', '52', '966', '247', '589', '228', '1.6937', '108300', 'INLAND']
['-121.43', '37.74', '52', '994', '258', '623', '264', '1725', '111500', 'INLAND']
['-121.44', '37.74', '25', '456', '116', '370', '106', '3.1319', '112500', 'INLAND']
['-121.44', '37.73', '7', '8363', '1314', '3907', '1068', '5.3321', '208100', 'INLAND']
['-121.43', '37.73', '40', '1718', '391', '1312', '388', '2.9955', '134700', 'INLAND']
['-121.42', '37.73', '2', '2682', '393', '883', '271', '5.9934', '196700', 'INLAND']
['-121.29', '37.72', '22', '1630', '404', '4402', '358', '1.9792', '63000', 'INLAND']
['-121.32', '37.67', '21', '1494', '271', '781', '255', '4.3015', '250000', 'INLAND']
['-121.47', '37.58', '14', '1594', '292', '887', '287', '4.6625', '294000', 'INLAND']
['-121.9', '37.36', '38', '1141', '333', '1028', '291', '2.7333', '182500', '<1H OCEAN']
['-121.89', '37.36', '37', '1525', '363', '1075', '374', '2.8971', '186100', '<1H OCEAN']
['-121.88', '37.36', '30', '2453', '573', '1845', '530', '3.7396', '210700', '<1H OCEAN']
['-121.89', '37.35', '44', '1668', '380', '1143', '365', '3.2083', '181900', '<1H OCEAN']
['-121.9', '37.36', '47', '1007', '245', '581', '240', '2.9545', '237500', '<1H OCEAN']
['-121.9', '37.35', '52', '1034', '239', '531', '223', '2.7411', '227100', '<1H OCEAN']
['-121.9', '37.35', '42', '2082', '626', '1396', '610', '3.25', '185300', '<1H OCEAN']
['-121.9', '37.34', '50', '1345', '287', '791', '254', '3.5966', '245800', '<1H OCEAN']
['-121.9', '37.34', '52', '241', '69', '385', '64', '2619', '212500', '<1H OCEAN']
['-121.92', '37.34', '35', '357', '120', '377', '99', '3.0139', '204200', '<1H OCEAN']
['-121.92', '37.34', '42', '2101', '524', '1212', '526', '3.6389', '239200', '<1H OCEAN']
['-121.92', '37.33', '52', '2009', '338', '841', '338', '5.5259', '295800', '<1H OCEAN']
['-121.93', '37.33', '44', '1449', '291', '676', '282', '3575', '292200', '<1H OCEAN']
['-121.91', '37.34', '35', '2189', '607', '1193', '562', '2.8042', '240900', '<1H OCEAN']
['-121.91', '37.33', '28', '454', '147', '366', '140', '2.9853', '187500', '<1H OCEAN']
['-121.92', '37.33', '52', '2125', '382', '930', '387', '5.2831', '299500', '<1H OCEAN']
['-121.9', '37.33', '34', '197', '44', '152', '47', '4.05', '200000', '<1H OCEAN']
['-121.91', '37.33', '52', '2212', '563', '1195', '532', '2894', '209500', '<1H OCEAN']
['-121.89', '37.33', '49', '658', '318', '467', '316', '0.7068', '200000', '<1H OCEAN']
['-121.9', '37.33', '11', '1283', '390', '718', '345', '4226', '166700', '<1H OCEAN']
['-121.9', '37.33', '52', '1009', '231', '929', '210', '2.5', '162500', '<1H OCEAN']
['-121.88', '37.34', '40', '1547', '625', '1493', '543', '1.2887', '212500', '<1H OCEAN']
['-121.89', '37.33', '6', '1495', '552', '1087', '557', '2.8798', '225000', '<1H OCEAN']
['-121.88', '37.33', '36', '1904', '689', '3561', '632', '2.0972', '187500', '<1H OCEAN']
['-121.89', '37.35', '48', '1562', '439', '1469', '424', '2.5673', '177500', '<1H OCEAN']
['-121.89', '37.34', '46', '1197', '416', '898', '370', '2.1714', '190600', '<1H OCEAN']
['-121.89', '37.34', '43', '1423', '467', '1013', '428', '1.6708', '204200', '<1H OCEAN']
['-121.88', '37.34', '52', '1390', '365', '921', '352', '2.1442', '188900', '<1H OCEAN']
['-121.88', '37.36', '42', '2087', '402', '1342', '423', '4.2149', '199000', '<1H OCEAN']
['-121.88', '37.35', '49', '1728', '350', '1146', '391', '3.5781', '193000', '<1H OCEAN']
['-121.89', '37.35', '47', '2879', '631', '2229', '606', '3.2599', '183100', '<1H OCEAN']
['-121.89', '37.35', '43', '1185', '296', '933', '244', '2925', '170800', '<1H OCEAN']
['-121.89', '37.35', '44', '2019', '615', '1243', '518', '2.0549', '193800', '<1H OCEAN']
['-121.88', '37.35', '43', '1086', '219', '715', '226', '4.2381', '193500', '<1H OCEAN']
['-121.87', '37.35', '37', '1566', '375', '1223', '346', '3.2793', '174500', '<1H OCEAN']
['-121.88', '37.34', '44', '1267', '353', '1018', '327', '2.4196', '194400', '<1H OCEAN']
['-121.88', '37.35', '52', '1704', '418', '1336', '411', '2.8167', '183500', '<1H OCEAN']
['-121.87', '37.34', '39', '2479', '541', '1990', '506', '2.4306', '289100', '<1H OCEAN']
['-121.87', '37.35', '27', '3500', '1036', '3019', '955', '2.9222', '153700', '<1H OCEAN']
['-121.86', '37.35', '46', '1448', '330', '1094', '331', '2.4968', '174100', '<1H OCEAN']
['-121.87', '37.35', '52', '1557', '424', '1580', '434', '2.3277', '183700', '<1H OCEAN']
['-121.86', '37.34', '29', '5274', '1625', '6234', '1639', '2.5947', '177300', '<1H OCEAN']
['-121.86', '37.34', '40', '2277', '508', '1718', '434', '3.0089', '185200', '<1H OCEAN']
['-121.88', '37.33', '41', '395', '164', '549', '184', '2375', '175000', '<1H OCEAN']
['-121.88', '37.33', '35', '3300', '1154', '3120', '1075', '1473', '213600', '<1H OCEAN']
['-121.87', '37.33', '37', '3137', '685', '2048', '651', '3.0156', '270300', '<1H OCEAN']
['-121.88', '37.33', '45', '1192', '371', '1084', '345', '2.8594', '205900', '<1H OCEAN']
['-121.89', '37.33', '42', '1279', '358', '1254', '340', '2.2583', '192500', '<1H OCEAN']
['-121.89', '37.32', '34', '1014', '246', '952', '215', '2.8864', '172500', '<1H OCEAN']
['-121.88', '37.32', '30', '1242', '338', '1438', '325', '2.6607', '169300', '<1H OCEAN']
['-121.88', '37.32', '40', '1331', '374', '1276', '389', '2.7546', '172500', '<1H OCEAN']
['-121.89', '37.32', '43', '1105', '241', '982', '206', '2.1149', '184900', '<1H OCEAN']
['-121.89', '37.32', '41', '977', '265', '865', '253', '3.2317', '184800', '<1H OCEAN']
['-121.89', '37.31', '52', '1994', '404', '1014', '389', '4.3882', '223600', '<1H OCEAN']
['-121.9', '37.31', '52', '2125', '431', '1014', '443', '5.8186', '281100', '<1H OCEAN']
['-121.9', '37.32', '48', '1274', '313', '971', '291', '3.7738', '220600', '<1H OCEAN']
['-121.91', '37.32', '42', '1067', '256', '608', '280', '3.0096', '180800', '<1H OCEAN']
['-121.91', '37.31', '16', '2962', '898', '1555', '795', '2.5804', '216300', '<1H OCEAN']
['-121.93', '37.32', '52', '1460', '492', '1165', '455', '2.5833', '167500', '<1H OCEAN']
['-121.94', '37.33', '37', '818', '269', '576', '261', '2.1902', '250000', '<1H OCEAN']
['-121.94', '37.32', '46', '2451', '472', '1163', '448', '4.8519', '225800', '<1H OCEAN']
['-121.93', '37.32', '51', '2711', '728', '1607', '724', '3', '184700', '<1H OCEAN']
['-121.92', '37.32', '39', '836', '254', '704', '272', '3.5256', '192600', '<1H OCEAN']
['-121.92', '37.32', '31', '1902', '554', '1485', '494', '2.4207', '165600', '<1H OCEAN']
['-121.92', '37.32', '28', '2089', '641', '1666', '587', '2.3633', '198400', '<1H OCEAN']
['-121.93', '37.32', '50', '1135', '215', '500', '207', '4.2614', '211300', '<1H OCEAN']
['-121.94', '37.31', '5', '2364', '578', '1102', '502', '5.2642', '246400', '<1H OCEAN']
['-121.94', '37.31', '30', '1680', '312', '858', '310', '4.0474', '280500', '<1H OCEAN']
['-121.94', '37.3', '26', '4348', '814', '2347', '810', '4.7275', '293000', '<1H OCEAN']
['-121.93', '37.3', '16', '1111', '226', '317', '199', '2.7153', '233300', '<1H OCEAN']
['-121.93', '37.31', '26', '2182', '704', '1638', '704', '2.8981', '229800', '<1H OCEAN']
['-121.92', '37.31', '34', '876', '150', '424', '163', '5.2769', '241100', '<1H OCEAN']
['-121.92', '37.31', '26', '3242', '780', '2100', '741', '3.1107', '247900', '<1H OCEAN']
['-121.93', '37.3', '16', '2111', '485', '1285', '499', '5.0477', '292500', '<1H OCEAN']
['-121.93', '37.31', '29', '1377', '430', '969', '399', '2.6573', '252800', '<1H OCEAN']
['-121.92', '37.31', '13', '6035', '1551', '2946', '1481', '4.0524', '213900', '<1H OCEAN']
['-121.93', '37.3', '14', '6277', '1742', '3025', '1630', '4.0653', '234200', '<1H OCEAN']
['-121.91', '37.3', '31', '616', '131', '185', '107', '3625', '265000', '<1H OCEAN']
['-121.89', '37.31', '40', '1844', '340', '719', '305', '3.3682', '235200', '<1H OCEAN']
['-121.88', '37.31', '28', '3085', '552', '1277', '512', '4.5795', '262800', '<1H OCEAN']
['-121.89', '37.3', '47', '1604', '284', '639', '278', '5.8415', '283300', '<1H OCEAN']
['-121.89', '37.3', '52', '2071', '362', '825', '364', '4.2414', '284800', '<1H OCEAN']
['-121.89', '37.31', '47', '2986', '627', '1399', '613', '3.7455', '247400', '<1H OCEAN']
['-121.9', '37.3', '52', '1456', '269', '582', '277', '5036', '296600', '<1H OCEAN']
['-121.88', '37.3', '42', '1867', '398', '927', '389', '4325', '247000', '<1H OCEAN']
['-121.88', '37.29', '44', '2026', '396', '908', '383', '4.1406', '274100', '<1H OCEAN']
['-121.89', '37.3', '47', '2355', '426', '961', '428', '5.3955', '282300', '<1H OCEAN']
['-121.89', '37.29', '38', '1568', '351', '710', '339', '2.7042', '286600', '<1H OCEAN']
['-121.9', '37.29', '36', '1389', '225', '623', '223', '6.6331', '283300', '<1H OCEAN']
['-121.93', '37.29', '36', '2241', '437', '989', '442', '3.9625', '288200', '<1H OCEAN']
['-121.93', '37.28', '10', '3163', '832', '1537', '797', '4.1674', '214000', '<1H OCEAN']
['-121.94', '37.28', '18', '4356', '1334', '1968', '1245', '3.6294', '240000', '<1H OCEAN']
['-121.93', '37.27', '30', '2862', '544', '1387', '542', '5.1104', '278100', '<1H OCEAN']
['-121.94', '37.27', '23', '1932', '552', '997', '482', '3662', '211900', '<1H OCEAN']
['-121.94', '37.27', '39', '1030', '191', '537', '175', '3.9265', '236900', '<1H OCEAN']
['-121.94', '37.26', '43', '2104', '388', '1137', '403', '4.9236', '238000', '<1H OCEAN']
['-121.94', '37.26', '21', '3843', '716', '1850', '705', '4.6758', '264200', '<1H OCEAN']
['-121.95', '37.26', '10', '3611', '803', '1599', '716', '5.2', '248700', '<1H OCEAN']
['-121.95', '37.26', '34', '1482', '255', '584', '246', '5.5121', '264700', '<1H OCEAN']
['-121.93', '37.26', '39', '1103', '175', '446', '163', '2.8125', '291300', '<1H OCEAN']
['-121.92', '37.26', '33', '1306', '259', '762', '237', '4.5208', '230700', '<1H OCEAN']
['-121.92', '37.25', '36', '3874', '656', '1826', '639', '4.9662', '258500', '<1H OCEAN']
['-121.91', '37.25', '31', '1944', '343', '975', '334', '4.9205', '240500', '<1H OCEAN']
['-121.92', '37.27', '33', '3280', '569', '1583', '559', '4.5625', '253500', '<1H OCEAN']
['-121.93', '37.27', '35', '1855', '345', '985', '329', '6.0196', '255100', '<1H OCEAN']
['-121.93', '37.27', '28', '3428', '753', '1753', '729', '4.1033', '281000', '<1H OCEAN']
['-121.92', '37.27', '29', '5536', '862', '2651', '881', '5.6358', '282100', '<1H OCEAN']
['-121.91', '37.27', '30', '4412', '862', '2168', '772', '5.0062', '232000', '<1H OCEAN']
['-121.9', '37.27', '33', '3410', '583', '1739', '588', '5.0714', '255600', '<1H OCEAN']
['-121.9', '37.25', '28', '2714', '502', '1389', '490', '5.7385', '240400', '<1H OCEAN']
['-121.9', '37.25', '20', '5483', '1079', '2892', '1057', '4.6845', '250000', '<1H OCEAN']
['-121.9', '37.27', '28', '4538', '685', '1996', '667', '5.4609', '263600', '<1H OCEAN']
['-121.9', '37.26', '20', '4447', '661', '2062', '660', '6.8088', '283300', '<1H OCEAN']
['-121.91', '37.26', '25', '4258', '719', '2290', '743', '5.1461', '267200', '<1H OCEAN']
['-121.91', '37.26', '32', '3776', '620', '1790', '612', '5.4675', '261100', '<1H OCEAN']
['-121.91', '37.26', '32', '3983', '876', '1989', '794', '3.5625', '255200', '<1H OCEAN']
['-121.89', '37.26', '26', '1864', '331', '956', '325', '5.5', '231700', '<1H OCEAN']
['-121.88', '37.26', '25', '3025', '689', '1755', '661', '3.8893', '218600', '<1H OCEAN']
['-121.88', '37.26', '13', '1893', '487', '1018', '464', '3.8047', '204700', '<1H OCEAN']
['-121.88', '37.26', '13', '1676', '471', '710', '406', '3.8936', '225900', '<1H OCEAN']
['-121.88', '37.25', '24', '968', '240', '631', '250', '2.8636', '240300', '<1H OCEAN']
['-121.89', '37.25', '21', '2080', '352', '1040', '325', '5.2887', '264500', '<1H OCEAN']
['-121.89', '37.25', '26', '1741', '323', '1007', '339', '4.7069', '234800', '<1H OCEAN']
['-121.89', '37.29', '36', '2959', '529', '1125', '520', '4.2614', '268800', '<1H OCEAN']
['-121.89', '37.28', '32', '4308', '717', '2002', '695', '4.1645', '281900', '<1H OCEAN']
['-121.88', '37.27', '27', '2019', '335', '1020', '351', '5.8178', '267400', '<1H OCEAN']
['-121.88', '37.27', '24', '4567', '688', '2102', '695', '5.6895', '289000', '<1H OCEAN']
['-121.89', '37.26', '25', '3319', '531', '1560', '502', '5.8479', '263300', '<1H OCEAN']
['-121.89', '37.27', '28', '1481', '256', '688', '221', '5.2088', '240900', '<1H OCEAN']
['-121.87', '37.32', '39', '1839', '471', '1528', '456', '2.6818', '184900', '<1H OCEAN']
['-121.87', '37.32', '36', '1471', '360', '1182', '326', '2.7031', '175800', '<1H OCEAN']
['-121.88', '37.32', '38', '1787', '508', '2113', '530', '2.6386', '177600', '<1H OCEAN']
['-121.88', '37.32', '45', '2213', '564', '1920', '514', '3.2806', '164200', '<1H OCEAN']
['-121.86', '37.31', '24', '1939', '652', '1808', '625', '2.2259', '112500', '<1H OCEAN']
['-121.87', '37.3', '28', '859', '199', '455', '211', '2.3293', '215900', '<1H OCEAN']
['-121.87', '37.31', '6', '3797', '984', '2437', '904', '3.6802', '152400', '<1H OCEAN']
['-121.87', '37.3', '14', '360', '124', '134', '84', '2.7411', '112500', '<1H OCEAN']
['-121.88', '37.3', '16', '2692', '749', '1674', '681', '2.6763', '191100', '<1H OCEAN']
['-121.86', '37.32', '13', '2519', '581', '2094', '530', '4.3621', '173400', '<1H OCEAN']
['-121.85', '37.33', '19', '2228', '559', '2845', '551', '2.6', '172800', '<1H OCEAN']
['-121.84', '37.32', '14', '5762', '1538', '3979', '1389', '3.6953', '192600', '<1H OCEAN']
['-121.85', '37.33', '16', '2987', '874', '4241', '841', '2.8024', '127900', '<1H OCEAN']
['-121.85', '37.33', '19', '735', '158', '597', '134', '4.5208', '188100', '<1H OCEAN']
['-121.84', '37.32', '22', '3015', '581', '2491', '530', '4.3419', '176300', '<1H OCEAN']
['-121.84', '37.32', '16', '1866', '364', '1835', '412', '5.3363', '212800', '<1H OCEAN']
['-121.87', '37.29', '18', '1892', '568', '974', '553', '2.3715', '228000', '<1H OCEAN']
['-121.87', '37.28', '21', '3305', '749', '2459', '701', '3.9688', '249600', '<1H OCEAN']
['-121.86', '37.29', '14', '6160', '1222', '2472', '1204', '4.1444', '178400', '<1H OCEAN']
['-121.85', '37.28', '17', '4208', '954', '1476', '904', '2.3971', '87500', '<1H OCEAN']
['-121.83', '37.3', '16', '5684', '1386', '4203', '1318', '3.1964', '185800', '<1H OCEAN']
['-121.85', '37.3', '19', '6275', '1546', '4312', '1466', '2.7768', '178600', '<1H OCEAN']
['-121.84', '37.29', '24', '3403', '656', '2829', '612', '4775', '191900', '<1H OCEAN']
['-121.84', '37.29', '4', '2937', '648', '1780', '665', '4.3851', '160400', '<1H OCEAN']
['-121.84', '37.28', '18', '2749', '633', '1779', '561', '3925', '166100', '<1H OCEAN']
['-121.83', '37.31', '19', '11181', '1895', '7817', '1853', '5.6058', '232700', '<1H OCEAN']
['-121.83', '37.3', '17', '1299', '211', '825', '217', '4.5', '235800', '<1H OCEAN']
['-121.81', '37.29', '15', '5957', '1037', '3838', '997', '6.2907', '253100', '<1H OCEAN']
['-121.81', '37.28', '17', '2277', '428', '1887', '422', '5.7078', '217000', '<1H OCEAN']
['-121.82', '37.28', '33', '2873', '489', '1946', '475', '5.0709', '176400', '<1H OCEAN']
['-121.83', '37.29', '10', '1828', '453', '1356', '409', '4.5943', '123500', '<1H OCEAN']
['-121.83', '37.29', '20', '1649', '408', '1729', '362', '3.3833', '115200', '<1H OCEAN']
['-121.83', '37.28', '33', '1115', '250', '1168', '261', '3.9009', '178600', '<1H OCEAN']
['-121.83', '37.28', '19', '2644', '833', '2317', '780', '3.1042', '183100', '<1H OCEAN']
['-121.82', '37.28', '31', '1340', '235', '1336', '270', '4.2361', '179500', '<1H OCEAN']
['-121.83', '37.29', '20', '2308', '461', '2223', '456', '4.2589', '191000', '<1H OCEAN']
['-121.82', '37.29', '16', '2085', '394', '1705', '391', '5.0225', '222800', '<1H OCEAN']
['-121.83', '37.32', '17', '1887', '664', '1906', '597', '2.5652', '165300', '<1H OCEAN']
['-121.82', '37.31', '22', '2044', '402', '1925', '429', '3.7102', '177500', '<1H OCEAN']
['-121.82', '37.31', '15', '1504', '294', '1267', '291', '5.5145', '219400', '<1H OCEAN']
['-121.81', '37.31', '14', '2731', '578', '1109', '551', '3.1382', '139700', '<1H OCEAN']
['-121.81', '37.31', '15', '1898', '395', '1527', '381', '4.4792', '212500', '<1H OCEAN']
['-121.81', '37.32', '26', '2528', '511', '2677', '512', '4.1165', '164900', '<1H OCEAN']
['-121.82', '37.32', '10', '2506', '623', '2634', '622', '3135', '231400', '<1H OCEAN']
['-121.82', '37.33', '23', '3279', '647', '2582', '630', '4.3782', '175800', '<1H OCEAN']
['-121.83', '37.32', '26', '1125', '210', '943', '214', '4825', '181000', '<1H OCEAN']
['-121.8', '37.34', '25', '1642', '297', '1146', '279', '5.2088', '231400', '<1H OCEAN']
['-121.8', '37.34', '20', '2686', '414', '1507', '405', '5.8068', '263900', '<1H OCEAN']
['-121.79', '37.34', '20', '2018', '328', '1196', '323', '4.9318', '262400', '<1H OCEAN']
['-121.8', '37.35', '15', '2781', '498', '1389', '475', '5614', '223300', '<1H OCEAN']
['-121.79', '37.33', '13', '2978', '505', '1794', '485', '6.6813', '277800', '<1H OCEAN']
['-121.79', '37.33', '18', '3611', '614', '2381', '642', '5.6345', '231000', '<1H OCEAN']
